what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348766943795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348766948923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767072779
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348767077213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767083375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767095014
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348767103026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767103979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767108934
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348767108963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767122320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767150071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767156489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767179608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767184947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767276538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767285469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767287840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767295432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767313438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767317481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767326150
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348767336765
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1348767337502
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1348767337504
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1348767337504
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1348767337504
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1348767337504
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1348767337505
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1348767337506
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1348767337506
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1348767337506
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1348767337506
