what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1348737141147
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1348737141147
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1348737141148
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1348737141149
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1348737141149
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1348737141149
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1348737141150
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1348737141151
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1348737141152
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1348737141152
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1348737141153
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1348737141154
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1348737141155
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1348737141156
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1348737141157
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1348737141158
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1348737141159
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1348737141161
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1348737141161
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1348737141162
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1348737141163
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1348737141164
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1348737141165
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1348737141166
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1348737141166
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1348737141167
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1348737141168
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1348737141169
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1348737141170
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1348737141171
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1348737141171
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1348737141172
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1348737141173
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1348737141174
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1348737141175
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1348737141175
os,sysinfo,,,"win32",1348737141181
arch,sysinfo,,,"x86_64",1348737141181
ws,sysinfo,,,"win32",1348737141181
locale,sysinfo,,,"en_US",1348737141181
processors,sysinfo,,,"4",1348737141181
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348737141181
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1348737141181
java.specification.name,sysinfo,,,"Java Platform API Specification",1348737141181
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348737141181
java.specification.version,sysinfo,,,"1.6",1348737141181
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1348737141181
java.version,sysinfo,,,"1.6.0_24",1348737141181
java.vm.info,sysinfo,,,"mixed mode",1348737141181
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1348737141181
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348737141181
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348737141181
java.vm.specification.version,sysinfo,,,"1.0",1348737141181
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1348737141181
java.vm.version,sysinfo,,,"19.1-b02",1348737141181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348737272981
